Country,League,Season,Home,Away,HG,AG
Colombia,Primera A,2024,La Equidad,Millonarios,1,3
Colombia,Primera A,2024,Santa Fe,Alianza FC,2,0
Colombia,Primera A,2024,Deportivo Pereira,Patriotas FC,0,1
Colombia,Primera A,2024,Envigado FC,Once Caldas,0,1
Colombia,Primera A,2024,Deportivo Cali,La Equidad,1,1
Colombia,Primera A,2024,Fortaleza FC,Santa Fe,1,3
Colombia,Primera A,2024,Independiente Medellín,Deportes Tolima,0,1
Colombia,Primera A,2024,Boyacá Chicó,Deportivo Pasto,1,0
Colombia,Primera A,2024,Alianza FC,América de Cali,0,1
Colombia,Primera A,2024,Atlético Junior,Águilas Doradas,3,4
Colombia,Primera A,2024,Atlético Bucaramanga,Atlético Nacional,1,0
Colombia,Primera A,2024,Millonarios,Jaguares de Córdoba,0,0
Colombia,Primera A,2024,Águilas Doradas,Deportivo Pereira,1,1
Colombia,Primera A,2024,La Equidad,Atlético Bucaramanga,0,1
Colombia,Primera A,2024,Once Caldas,Independiente Medellín,0,2
Colombia,Primera A,2024,América de Cali,Fortaleza FC,1,1
Colombia,Primera A,2024,Millonarios,Envigado FC,3,0
Colombia,Primera A,2024,Atlético Nacional,Boyacá Chicó,6,2
Colombia,Primera A,2024,Jaguares de Córdoba,Atlético Junior,1,1
Colombia,Primera A,2024,Deportes Tolima,Santa Fe,0,0
Colombia,Primera A,2024,Deportivo Pasto,Alianza FC,1,0
Colombia,Primera A,2024,Patriotas FC,Deportivo Cali,2,2
Colombia,Primera A,2024,Deportivo Cali,Millonarios,0,1
Colombia,Primera A,2024,Envigado FC,Atlético Bucaramanga,0,0
Colombia,Primera A,2024,Boyacá Chicó,América de Cali,0,2
Colombia,Primera A,2024,Deportivo Pasto,Atlético Nacional,1,2
Colombia,Primera A,2024,Alianza FC,Once Caldas,1,0
Colombia,Primera A,2024,Independiente Medellín,La Equidad,0,0
Colombia,Primera A,2024,Santa Fe,Águilas Doradas,0,0
Colombia,Primera A,2024,Atlético Junior,Patriotas FC,2,1
Colombia,Primera A,2024,Fortaleza FC,Jaguares de Córdoba,3,1
Colombia,Primera A,2024,Deportivo Pereira,Deportes Tolima,1,0
Colombia,Primera A,2024,La Equidad,Atlético Junior,1,0
Colombia,Primera A,2024,Atlético Bucaramanga,Deportivo Pereira,1,1
Colombia,Primera A,2024,Águilas Doradas,Deportivo Cali,1,1
Colombia,Primera A,2024,Patriotas FC,Santa Fe,1,2
Colombia,Primera A,2024,Once Caldas,Deportivo Pasto,2,1
Colombia,Primera A,2024,América de Cali,Independiente Medellín,1,0
Colombia,Primera A,2024,Atlético Nacional,Envigado FC,2,1
Colombia,Primera A,2024,Jaguares de Córdoba,Boyacá Chicó,1,0
Colombia,Primera A,2024,Millonarios,Fortaleza FC,2,1
Colombia,Primera A,2024,Deportes Tolima,Alianza FC,2,0
Colombia,Primera A,2024,Deportes Tolima,Once Caldas,1,1
Colombia,Primera A,2024,Alianza FC,Patriotas FC,1,1
Colombia,Primera A,2024,Santa Fe,Millonarios,0,1
Colombia,Primera A,2024,Fortaleza FC,Atlético Nacional,0,1
Colombia,Primera A,2024,Deportivo Cali,Atlético Bucaramanga,1,0
Colombia,Primera A,2024,Atlético Junior,América de Cali,3,1
Colombia,Primera A,2024,Independiente Medellín,Jaguares de Córdoba,4,1
Colombia,Primera A,2024,Boyacá Chicó,La Equidad,1,0
Colombia,Primera A,2024,Deportivo Pasto,Águilas Doradas,3,1
Colombia,Primera A,2024,Deportivo Pereira,Envigado FC,2,0
Colombia,Primera A,2024,Jaguares de Córdoba,Deportivo Pereira,1,2
Colombia,Primera A,2024,Once Caldas,Fortaleza FC,0,2
Colombia,Primera A,2024,La Equidad,Alianza FC,3,2
Colombia,Primera A,2024,Envigado FC,Atlético Junior,0,0
Colombia,Primera A,2024,Águilas Doradas,Deportes Tolima,0,1
Colombia,Primera A,2024,Patriotas FC,Boyacá Chicó,3,0
Colombia,Primera A,2024,América de Cali,Deportivo Cali,0,1
Colombia,Primera A,2024,Millonarios,Deportivo Pasto,1,0
Colombia,Primera A,2024,Atlético Bucaramanga,Independiente Medellín,2,3
Colombia,Primera A,2024,Atlético Nacional,Santa Fe,1,1
Colombia,Primera A,2024,Fortaleza FC,La Equidad,2,1
Colombia,Primera A,2024,Boyacá Chicó,Atlético Bucaramanga,1,1
Colombia,Primera A,2024,Alianza FC,Águilas Doradas,3,0
Colombia,Primera A,2024,Deportes Tolima,Envigado FC,3,0
Colombia,Primera A,2024,Deportivo Cali,Jaguares de Córdoba,1,2
Colombia,Primera A,2024,Independiente Medellín,Patriotas FC,3,0
Colombia,Primera A,2024,Atlético Junior,Millonarios,0,0
Colombia,Primera A,2024,Deportivo Pasto,América de Cali,3,1
Colombia,Primera A,2024,Deportivo Pereira,Atlético Nacional,1,1
Colombia,Primera A,2024,Santa Fe,Once Caldas,2,1
Colombia,Primera A,2024,Atlético Bucaramanga,Fortaleza FC,1,0
Colombia,Primera A,2024,Patriotas FC,Deportes Tolima,2,1
Colombia,Primera A,2024,Envigado FC,Deportivo Cali,1,0
Colombia,Primera A,2024,Jaguares de Córdoba,Alianza FC,0,0
Colombia,Primera A,2024,Águilas Doradas,Boyacá Chicó,0,1
Colombia,Primera A,2024,Millonarios,Deportivo Pereira,0,0
Colombia,Primera A,2024,La Equidad,Deportivo Pasto,2,2
Colombia,Primera A,2024,Atlético Nacional,Independiente Medellín,1,1
Colombia,Primera A,2024,Once Caldas,Atlético Junior,0,0
Colombia,Primera A,2024,América de Cali,Santa Fe,0,0
Colombia,Primera A,2024,Atlético Junior,Deportivo Cali,3,0
Colombia,Primera A,2024,América de Cali,Once Caldas,3,0
Colombia,Primera A,2024,Alianza FC,Atlético Bucaramanga,0,4
Colombia,Primera A,2024,Santa Fe,Jaguares de Córdoba,3,0
Colombia,Primera A,2024,Fortaleza FC,Águilas Doradas,0,1
Colombia,Primera A,2024,Boyacá Chicó,Millonarios,1,5
Colombia,Primera A,2024,Deportivo Pasto,Patriotas FC,3,2
Colombia,Primera A,2024,Deportivo Pereira,La Equidad,4,3
Colombia,Primera A,2024,Deportes Tolima,Atlético Nacional,1,0
Colombia,Primera A,2024,Independiente Medellín,Envigado FC,1,0
Colombia,Primera A,2024,Millonarios,Deportivo Pasto,2,1
Colombia,Primera A,2024,Atlético Nacional,Santa Fe,5,0
Colombia,Primera A,2024,Deportivo Pasto,Atlético Nacional,0,1
Colombia,Primera A,2024,Santa Fe,Millonarios,0,1
Colombia,Primera A,2024,Deportivo Pasto,Santa Fe,1,0
Colombia,Primera A,2024,Millonarios,Atlético Nacional,2,1
Colombia,Primera A,2024,Santa Fe,Deportivo Pasto,1,2
Colombia,Primera A,2024,Atlético Nacional,Millonarios,1,1
Colombia,Primera A,2024,Atlético Nacional,Deportivo Pasto,2,1
Colombia,Primera A,2024,Millonarios,Santa Fe,1,1
Colombia,Primera A,2024,Deportivo Pasto,Millonarios,0,0
Colombia,Primera A,2024,Santa Fe,Atlético Nacional,0,3
Colombia,Primera A,2024,Once Caldas,Deportes Tolima,0,0
Colombia,Primera A,2024,Atlético Junior,América de Cali,1,0
Colombia,Primera A,2024,América de Cali,Once Caldas,1,1
Colombia,Primera A,2024,Deportes Tolima,Atlético Junior,1,0
Colombia,Primera A,2024,Deportes Tolima,América de Cali,1,0
Colombia,Primera A,2024,Once Caldas,Atlético Junior,2,2
Colombia,Primera A,2024,América de Cali,Deportes Tolima,4,2
Colombia,Primera A,2024,Atlético Junior,Once Caldas,1,2
Colombia,Primera A,2024,Once Caldas,América de Cali,3,0
Colombia,Primera A,2024,Atlético Junior,Deportes Tolima,3,2
Colombia,Primera A,2024,América de Cali,Atlético Junior,1,0
Colombia,Primera A,2024,Deportes Tolima,Once Caldas,1,0
Colombia,Primera A,2024,Deportes Tolima,Atlético Nacional,1,1
Colombia,Primera A,2024,Atlético Nacional,Deportes Tolima,2,0
Colombia,Primera A,2025,Boyacá Chicó,Atlético Bucaramanga,1,0
Colombia,Primera A,2025,América de Cali,Llaneros FC,4,3
Colombia,Primera A,2025,Atlético Nacional,Once Caldas,4,0
Colombia,Primera A,2025,Santa Fe,Deportivo Pereira,2,1
Colombia,Primera A,2025,Atlético Junior,Deportivo Cali,0,0
Colombia,Primera A,2025,Alianza FC,Independiente Medellín,1,1
Colombia,Primera A,2025,Águilas Doradas,La Equidad,1,1
Colombia,Primera A,2025,Deportes Tolima,Deportivo Pasto,2,0
Colombia,Primera A,2025,Fortaleza FC,Envigado FC,0,0
Colombia,Primera A,2025,Unión Magdalena,Millonarios,1,3
Colombia,Primera A,2025,Santa Fe,Deportes Tolima,0,0
Colombia,Primera A,2025,Once Caldas,Fortaleza FC,2,1
Colombia,Primera A,2025,Deportivo Pasto,Millonarios,0,1
Colombia,Primera A,2025,Atlético Junior,Águilas Doradas,2,2
Colombia,Primera A,2025,La Equidad,Atlético Nacional,0,1
Colombia,Primera A,2025,Deportivo Cali,Envigado FC,1,0
Colombia,Primera A,2025,Independiente Medellín,Boyacá Chicó,3,0
Colombia,Primera A,2025,Atlético Bucaramanga,América de Cali,0,4
Colombia,Primera A,2025,Deportivo Pereira,Alianza FC,0,0
Colombia,Primera A,2025,Llaneros FC,Unión Magdalena,2,0
Colombia,Primera A,2025,Águilas Doradas,Santa Fe,0,0
Colombia,Primera A,2025,Deportes Tolima,Alianza FC,3,1
Colombia,Primera A,2025,Boyacá Chicó,Llaneros FC,2,2
Colombia,Primera A,2025,América de Cali,Deportivo Pasto,1,1
Colombia,Primera A,2025,Unión Magdalena,Atlético Junior,0,0
Colombia,Primera A,2025,Millonarios,La Equidad,2,1
Colombia,Primera A,2025,Envigado FC,Independiente Medellín,0,1
Colombia,Primera A,2025,Once Caldas,Atlético Bucaramanga,2,1
Colombia,Primera A,2025,Fortaleza FC,Deportivo Cali,1,0
Colombia,Primera A,2025,Atlético Nacional,Deportivo Pereira,3,0
Colombia,Primera A,2025,Llaneros FC,Millonarios,2,2
Colombia,Primera A,2025,Deportivo Pasto,Boyacá Chicó,3,0
Colombia,Primera A,2025,Independiente Medellín,Unión Magdalena,1,1
Colombia,Primera A,2025,Santa Fe,Atlético Nacional,2,2
Colombia,Primera A,2025,La Equidad,Envigado FC,2,3
Colombia,Primera A,2025,Atlético Junior,Once Caldas,2,0
Colombia,Primera A,2025,Deportivo Pereira,Deportes Tolima,0,0
Colombia,Primera A,2025,Deportivo Cali,Atlético Bucaramanga,0,0
Colombia,Primera A,2025,Alianza FC,Fortaleza FC,0,0
Colombia,Primera A,2025,Águilas Doradas,América de Cali,0,1
Colombia,Primera A,2025,América de Cali,Santa Fe,2,0
Colombia,Primera A,2025,Millonarios,Independiente Medellín,0,1
Colombia,Primera A,2025,Unión Magdalena,La Equidad,0,0
Colombia,Primera A,2025,Envigado FC,Deportivo Pasto,0,1
Colombia,Primera A,2025,Fortaleza FC,Águilas Doradas,2,1
Colombia,Primera A,2025,Atlético Bucaramanga,Alianza FC,0,0
Colombia,Primera A,2025,Llaneros FC,Deportivo Cali,0,1
Colombia,Primera A,2025,Boyacá Chicó,Atlético Junior,0,2
Colombia,Primera A,2025,Once Caldas,Deportivo Pereira,3,1
Colombia,Primera A,2025,Atlético Nacional,Deportes Tolima,4,3
Colombia,Primera A,2025,La Equidad,Boyacá Chicó,0,1
Colombia,Primera A,2025,Águilas Doradas,Once Caldas,0,1
Colombia,Primera A,2025,Deportivo Pereira,Fortaleza FC,2,0
Colombia,Primera A,2025,Alianza FC,Atlético Nacional,3,2
Colombia,Primera A,2025,Deportivo Cali,Millonarios,3,1
Colombia,Primera A,2025,Deportes Tolima,América de Cali,0,0
Colombia,Primera A,2025,Atlético Junior,Envigado FC,1,2
Colombia,Primera A,2025,Deportivo Pasto,Unión Magdalena,2,1
Colombia,Primera A,2025,Independiente Medellín,Llaneros FC,3,0
Colombia,Primera A,2025,Santa Fe,Atlético Bucaramanga,1,1
Colombia,Primera A,2025,Envigado FC,Santa Fe,1,7
Colombia,Primera A,2025,Boyacá Chicó,Águilas Doradas,1,1
Colombia,Primera A,2025,Atlético Bucaramanga,Atlético Junior,1,1
Colombia,Primera A,2025,América de Cali,Deportivo Pereira,2,0
Colombia,Primera A,2025,Once Caldas,Alianza FC,1,2
Colombia,Primera A,2025,Millonarios,Deportes Tolima,2,0
Colombia,Primera A,2025,Unión Magdalena,Deportivo Cali,2,2
Colombia,Primera A,2025,Independiente Medellín,Deportivo Pasto,1,0
Colombia,Primera A,2025,Llaneros FC,La Equidad,1,0
Colombia,Primera A,2025,Fortaleza FC,Atlético Nacional,1,5
Colombia,Primera A,2025,Águilas Doradas,Atlético Bucaramanga,0,1
Colombia,Primera A,2025,Deportivo Pereira,Envigado FC,2,0
Colombia,Primera A,2025,Alianza FC,Unión Magdalena,1,0
Colombia,Primera A,2025,Deportivo Pasto,Llaneros FC,1,0
Colombia,Primera A,2025,La Equidad,Independiente Medellín,0,0
Colombia,Primera A,2025,Santa Fe,Fortaleza FC,2,0
Colombia,Primera A,2025,Atlético Junior,Millonarios,2,1
Colombia,Primera A,2025,Atlético Nacional,América de Cali,1,0
Colombia,Primera A,2025,Deportivo Cali,Boyacá Chicó,0,0
Colombia,Primera A,2025,Deportes Tolima,Once Caldas,2,0
Colombia,Primera A,2025,Atlético Bucaramanga,Deportivo Pereira,0,1
Colombia,Primera A,2025,Deportivo Pasto,La Equidad,2,1
Colombia,Primera A,2025,Envigado FC,Atlético Nacional,0,0
Colombia,Primera A,2025,Fortaleza FC,Deportes Tolima,1,1
Colombia,Primera A,2025,América de Cali,Alianza FC,3,0
Colombia,Primera A,2025,Once Caldas,Santa Fe,0,1
Colombia,Primera A,2025,Millonarios,Águilas Doradas,1,0
Colombia,Primera A,2025,Unión Magdalena,Boyacá Chicó,1,1
Colombia,Primera A,2025,Independiente Medellín,Deportivo Cali,0,0
Colombia,Primera A,2025,Llaneros FC,Atlético Junior,0,1
Colombia,Primera A,2025,Boyacá Chicó,Deportivo Pasto,0,0
Colombia,Primera A,2025,La Equidad,Fortaleza FC,1,1
Colombia,Primera A,2025,Deportivo Pereira,Once Caldas,1,1
Colombia,Primera A,2025,Santa Fe,Millonarios,3,2
Colombia,Primera A,2025,Alianza FC,Atlético Bucaramanga,1,2
Colombia,Primera A,2025,Atlético Nacional,Independiente Medellín,1,1
Colombia,Primera A,2025,Águilas Doradas,Envigado FC,1,0
Colombia,Primera A,2025,Deportes Tolima,Llaneros FC,1,0
Colombia,Primera A,2025,Deportivo Cali,América de Cali,1,1
Colombia,Primera A,2025,Atlético Junior,Unión Magdalena,2,1
Colombia,Primera A,2025,Atlético Bucaramanga,Atlético Nacional,2,0
Colombia,Primera A,2025,Deportivo Pasto,Deportivo Cali,1,1
Colombia,Primera A,2025,Independiente Medellín,Águilas Doradas,0,0
Colombia,Primera A,2025,Millonarios,Alianza FC,2,0
Colombia,Primera A,2025,Unión Magdalena,Santa Fe,0,1
Colombia,Primera A,2025,América de Cali,Fortaleza FC,1,0
Colombia,Primera A,2025,La Equidad,Atlético Junior,0,1
Colombia,Primera A,2025,Llaneros FC,Deportivo Pereira,2,1
Colombia,Primera A,2025,Boyacá Chicó,Deportes Tolima,1,4
Colombia,Primera A,2025,Envigado FC,Once Caldas,1,2
Colombia,Primera A,2025,Alianza FC,Envigado FC,1,2
Colombia,Primera A,2025,Santa Fe,Deportivo Pasto,1,1
Colombia,Primera A,2025,Atlético Nacional,Unión Magdalena,1,0
Colombia,Primera A,2025,Deportivo Cali,La Equidad,3,1
Colombia,Primera A,2025,Once Caldas,América de Cali,3,0
Colombia,Primera A,2025,Deportes Tolima,Atlético Bucaramanga,2,1
Colombia,Primera A,2025,Deportivo Pereira,Boyacá Chicó,1,1
Colombia,Primera A,2025,Fortaleza FC,Millonarios,0,2
Colombia,Primera A,2025,Atlético Junior,Independiente Medellín,1,0
Colombia,Primera A,2025,Águilas Doradas,Llaneros FC,1,2
Colombia,Primera A,2025,La Equidad,Santa Fe,2,1
Colombia,Primera A,2025,Llaneros FC,Alianza FC,0,1
Colombia,Primera A,2025,Deportivo Cali,Águilas Doradas,0,0
Colombia,Primera A,2025,Envigado FC,América de Cali,1,1
Colombia,Primera A,2025,Unión Magdalena,Deportivo Pereira,2,2
Colombia,Primera A,2025,Deportivo Pasto,Atlético Junior,3,3
Colombia,Primera A,2025,Boyacá Chicó,Once Caldas,0,0
Colombia,Primera A,2025,Millonarios,Atlético Nacional,0,0
Colombia,Primera A,2025,Atlético Bucaramanga,Fortaleza FC,4,0
Colombia,Primera A,2025,Santa Fe,Independiente Medellín,1,2
Colombia,Primera A,2025,Alianza FC,Deportivo Pasto,1,0
Colombia,Primera A,2025,Deportivo Pereira,Deportivo Cali,2,0
Colombia,Primera A,2025,Deportes Tolima,Atlético Junior,0,0
Colombia,Primera A,2025,Águilas Doradas,Unión Magdalena,1,1
Colombia,Primera A,2025,Once Caldas,La Equidad,3,0
Colombia,Primera A,2025,Atlético Nacional,Boyacá Chicó,4,1
Colombia,Primera A,2025,América de Cali,Millonarios,0,0
Colombia,Primera A,2025,Atlético Bucaramanga,Envigado FC,1,0
Colombia,Primera A,2025,Fortaleza FC,Llaneros FC,1,0
Colombia,Primera A,2025,La Equidad,América de Cali,2,0
Colombia,Primera A,2025,Atlético Junior,Alianza FC,2,0
Colombia,Primera A,2025,Independiente Medellín,Once Caldas,2,0
Colombia,Primera A,2025,Envigado FC,Deportes Tolima,3,1
Colombia,Primera A,2025,Unión Magdalena,Atlético Bucaramanga,1,1
Colombia,Primera A,2025,Deportivo Cali,Atlético Nacional,1,0
Colombia,Primera A,2025,Boyacá Chicó,Fortaleza FC,0,2
Colombia,Primera A,2025,Deportivo Pasto,Águilas Doradas,1,0
Colombia,Primera A,2025,Llaneros FC,Santa Fe,0,1
Colombia,Primera A,2025,Once Caldas,Llaneros FC,1,0
Colombia,Primera A,2025,Envigado FC,Unión Magdalena,2,1
Colombia,Primera A,2025,Alianza FC,Águilas Doradas,0,0
Colombia,Primera A,2025,Deportes Tolima,La Equidad,2,1
Colombia,Primera A,2025,Deportivo Pereira,Atlético Junior,1,0
Colombia,Primera A,2025,Santa Fe,Boyacá Chicó,0,0
Colombia,Primera A,2025,Fortaleza FC,Independiente Medellín,0,0
Colombia,Primera A,2025,América de Cali,Deportivo Cali,2,0
Colombia,Primera A,2025,Atlético Bucaramanga,Millonarios,0,2
Colombia,Primera A,2025,Atlético Nacional,Deportivo Pasto,3,0
Colombia,Primera A,2025,Millonarios,Santa Fe,2,0
Colombia,Primera A,2025,La Equidad,Alianza FC,0,2
Colombia,Primera A,2025,Llaneros FC,Atlético Bucaramanga,2,1
Colombia,Primera A,2025,Deportivo Cali,Deportes Tolima,1,1
Colombia,Primera A,2025,Atlético Junior,América de Cali,0,0
Colombia,Primera A,2025,Deportivo Pasto,Fortaleza FC,1,0
Colombia,Primera A,2025,Independiente Medellín,Atlético Nacional,1,1
Colombia,Primera A,2025,Águilas Doradas,Deportivo Pereira,3,3
Colombia,Primera A,2025,América de Cali,Boyacá Chicó,3,0
